timestamp,​0x94a96F9E196a113Dec20e8bD951A0fAa21FCc7ac,​0xAD037A8E1D9B0951c9c7923A36BFdb39ae161678,​0x4afEc1B71daAE0414b5AF2eE91a24c3dcEeA1BC1,​0x6D08D19Dff533050f93EaAa0a009e2771D3598bC,​0x38B8C0043ecEAf05C659e88b72dC29FE558fBc3a,​0x92179708f571Dba8008a78c777F114633D48187A,​0xE4AEa9f855D6960D56190fb26E32d0Ec2ab40D82,​0x52762C7e08A579174Fa3B4d93e999288C258De02,​0x86D1352Ec505965aAb6C9E269D40B6289a8E363B,​0x7cDB8273671ef3A3Ac0c98C8Dd55195E0849EF5e,​0x1943C45957CD79704eF17EA8366088efA08cB86C,​0xf9F99f982f3Ea9020f0A0afd4D4679dFEe1B63cf,​0x5548A1942CD0bfFFd7197da2E7De18F8F550c0E8,​0x307dcc2081A4373243b396cf0f090bf43BAc0248,​0x00BaE5Ed35736E4EF17aF1be0C6f50E0Fb73D685,​0x57DE82d36d31F6A3aDFf94fF1d664A005b21dF76,​0x73cf2c29D81671774F455203009b03479DfbA225,​0xA77679791A3db865E4091E94DdB91A85f3726f1A,​0xeb5280c27F0eCe2dD5afd6b210660C6979Af1536,​0x61e5B69de63C0295F4A1209B2E24B1BAbf46Ee3A,​0x6Bafe9aFe3D5fecb59262177b05F3C341EC5Ee59,​0xa52771C36332C1B7E1506754FB1BA775c1388915,​0x3DFA17D931Fb1A7E231e6f96d5B34D56f171AfFc,​0xA5e7EaB145622570E83722378A50b27f0A74021A,​0x4aa6B038650d1319375595375522eE6806DCE62F,​0xA81A8c1f6388B7e8174d636309674eACb82174AD,​0x17226906de766a8c7C13F088b0544C5E6B4c5DBF,Other
1551405840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551455860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551505870000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551555870000,,,,,,,,,,,,,,,,,,,,,,,30000.00,,,31802.26,,
1551605870000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551655870000,,,,,,,,,,,,,2353.22,,,,,,,,,,,,,1000.00,,
1551705890000,,,,,,,,,,,,,,,,,,,,,,,,,,3100.00,,
1551755900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551805900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551855930000,,,,,2582.00,,,,,,,,,,,,,,,,,,,,,,,
1551905930000,,2953.94,,,,,,,,,,,,,,,,,,,,,,,,,,
1551955930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.94
1552005930000,,,,,,,,,,,,,,,,5965.89,,,,,,,,,,5000.00,,
1552055930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552105930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552155930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552206030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552256030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552306090000,,,,,2033.35,,,,,,,,,,,,,,,,,,,,,2000.00,,
1552356240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552406330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552456340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552506350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552556380000,,,,,,,,,,,,,,,,,,,,,,,,,,1000.00,,
1552606400000,,,,,,,,,,,,,,,,,,,,,,,,,,1000.00,,
1552656410000,,,,,,,,,,,,,,,,,,,,,,,,,,2876.21,,
1552706410000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552756450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552806450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552856450000,,,,,,,,,,,,,,,,,,,,,,,,,,996.73,,
1552906460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552956460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553006500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553056530000,,,,,,,,,,,,,,,,,,,,,,,,,,2228.97,,
1553106550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553156550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553206550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553256580000,,2075.74,,,,,,,,,,,,,,,,,,,,,,,,,,
1553306590000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553356610000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553406660000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553456670000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553506710000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553556780000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553606790000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553656790000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553706810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
